locale,key,value
ja_JP,settings_updated,"設定が更新されました"
en_US,attempting_access,"Attempting to access..."
zh_CN,attempting_access,"正在尝试访问..."
ja_JP,attempting_access,"アクセスを試みています..."
en_US,verification_successful,"Verification successful"
zh_CN,verification_successful,"验证成功"
ja_JP,verification_successful,"検証成功"
en_US,verification_failed,"Verification failed, please check if API_KEY and BASE_URL are correct"
zh_CN,verification_failed,"验证失败, 请检查 API_KEY 和 BASE_URL 是否正确"
ja_JP,verification_failed,"検証に失敗しました。API_KEYとBASE_URLが正しいか確認してください"
en_US,access_failed,"Access failed"
zh_CN,access_failed,"访问失败"
ja_JP,access_failed,"アクセスに失敗しました"
en_US,llm_config,"LLM Configuration"
zh_CN,llm_config,"LLM 配置"
ja_JP,llm_config,"LLM 設定"
en_US,api_key_help,"Enter your API key here"
zh_CN,api_key_help,"在此输入您的 API 密钥"
ja_JP,api_key_help,"ここにAPIキーを入力してください"
en_US,download_all_subtitles,"Download all subtitle files"
zh_CN,download_all_subtitles,"下载所有字幕文件"
ja_JP,download_all_subtitles,"すべての字幕ファイルをダウンロード"
en_US,star_on_github,"Star on GitHub"
zh_CN,star_on_github,"去 GitHub 点个星星"
ja_JP,star_on_github,"GitHubでスターを付ける"
en_US,using_whisper_transcription,"Using Whisper for transcription..."
zh_CN,using_whisper_transcription,"使用Whisper进行转录..."
ja_JP,using_whisper_transcription,"Whisperを使用して転写中..."
en_US,splitting_long_sentences,"Splitting long sentences..."
zh_CN,splitting_long_sentences,"分割长句..."
ja_JP,splitting_long_sentences,"長文を分割中..."
en_US,summarizing_and_translating,"Summarizing and translating..."
zh_CN,summarizing_and_translating,"总结和翻译..."
ja_JP,summarizing_and_translating,"要約と翻訳中..."
en_US,processing_aligning_subtitles,"Processing and aligning subtitles..."
zh_CN,processing_aligning_subtitles,"处理对齐字幕..."
ja_JP,processing_aligning_subtitles,"字幕の処理と整列中..."
en_US,merging_subtitles_to_video,"Merging subtitles to video..."
zh_CN,merging_subtitles_to_video,"合并字幕到视频..."
ja_JP,merging_subtitles_to_video,"字幕をビデオに合成中..."
en_US,subtitle_processing_complete,"Subtitle processing complete! 🎉"
zh_CN,subtitle_processing_complete,"字幕处理完成! 🎉"
ja_JP,subtitle_processing_complete,"字幕処理完了! 🎉"
en_US,display_language,"Display Language"
zh_CN,display_language,"显示语言"
ja_JP,display_language,"表示言語"
